ingresso;matricula;nome;ano-periodo-formado
2013/1;200000001;Olivia Santos Rezende;2018/1
2022/1;200000002;Rafael Rezende Pereira;2030/1
2007/1;200000003;Ester Oliveira Santos;2012/1
2022/1;200000004;Priscila Guimarães Santos;2030/2
2013/1;200000005;Davi Barbosa Lopes;2018/2
2009/1;200000006;Ester Moura Cavalcanti;2015/1
2008/2;200000007;Nicolas Lima Cardoso;2015/2
2019/1;200000008;Hugo Oliveira Medeiros;2026/2
2016/1;200000009;Karina Correia Mendes;2020/1
2014/1;200000010;Felipe Vasconcelos Barbosa;2019/1
2019/2;200000011;Mariana Cardoso Cavalcanti;2024/1
2013/1;200000012;Wagner Araújo Gomes;2021/1
2012/1;200000013;Vitor Andrade Medeiros;2019/1
2022/1;200000014;Ximena Cavalcanti Monteiro;2028/1
2015/2;200000015;Henrique Barbosa Oliveira;2021/1
2015/1;200000016;Isabela Gomes Melo;2022/1
2009/2;200000017;Alice Ramos Borges;2014/1
2022/2;200000018;Fábio Rezende Correia;2031/2
2016/1;200000019;Ester Campos Teixeira;2021/2
2006/1;200000020;Rodrigo Miranda Lima;2011/2
2007/2;200000021;Ursula Leite Moreira;2014/1
2022/1;200000022;Kevin Pinto Martins;2026/1
2015/1;200000023;Úrsula Tavares Cavalcanti;2021/2
2005/2;200000024;Flávio Nascimento Borges;2013/1
2014/1;200000025;Wanda Azevedo Pereira;2019/2
2022/1;200000026;Wagner Tavares Nascimento;2030/1
2008/2;200000027;Paulo Miranda Santos;2014/1
2007/1;200000028;Eduarda Souza Ribeiro;2014/1
2009/1;200000029;Isabela Tavares Andrade;2016/1
2018/1;200000030;Vitor Martins Pinto;2026/2
2017/2;200000031;Zeca Torres Dias;2025/2
2012/1;200000032;Sofia Lopes Costa;2016/1
2022/1;200000033;Samuel Santos Campos;2030/1
2006/1;200000034;Cecília Silva Ferreira;2010/1
2021/1;200000035;Elisa Moura Ferreira;2027/2
2009/2;200000036;Natália Gomes Andrade;2015/2
2008/1;200000037;Laura Fonseca Freitas;2015/2
2019/1;200000038;Ulisses Moreira Fonseca;2023/1
2015/1;200000039;Henrique Teixeira Medeiros;2020/1
2019/1;200000040;Yara Freitas Andrade;2026/2
2012/1;200000041;Xavier Cavalcanti Borges;2019/1
2022/1;200000042;Mariana Souza Ramos;2026/1
2020/2;200000043;Eduarda Nascimento Fonseca;2026/2
2017/1;200000044;Bento Souza Nascimento;2024/2
2018/2;200000045;Hugo Borges Mendes;2023/1
2006/1;200000046;Yara Mendes Gomes;2012/1
2020/1;200000047;Henrique Souza Campos;2024/2
2007/1;200000048;Rodrigo Lima Carvalho;2012/1
2012/1;200000049;Bento Costa Melo;2020/1
2021/2;200000050;Karina Fonseca Vasconcelos;2027/1
2015/1;200000051;Amanda Vasconcelos Torres;2021/2
2014/2;200000052;Alice Rodrigues Vasconcelos;2021/2
2008/1;200000053;João Silva Borges;2016/2
2009/2;200000054;Bernardo Azevedo Martins;2014/2
2010/2;200000055;Fábio Nunes Mendes;2018/1
2021/1;200000056;Milena Rocha Ramos;2029/2
2009/2;200000057;Milena Vasconcelos Pereira;2014/2
2009/2;200000058;Nicolas Rezende Correia;2015/1
2011/2;200000059;Amanda Torres Moura;2019/1
2007/2;200000060;Natália Martins Souza;2013/1
2009/2;200000061;Felipe Silva Moura;2014/1
2018/1;200000062;Geovana Correia Torres;2022/1
2022/1;200000063;João Pires Almeida;2028/1
2006/2;200000064;Sabrina Moreira Rodrigues;2013/2
2012/1;200000065;Felipe Araújo Gomes;2018/1
2009/1;200000066;Cláudia Rocha Rezende;2014/2
2010/2;200000067;Wanda Fonseca Santos;2017/1
2008/2;200000068;Fábio Cavalcanti Nascimento;2012/1
2019/2;200000069;Laura Barbosa Freitas;2025/1
2011/2;200000070;Danilo Barbosa Santos;2018/2
2013/2;200000071;Júlio Ferreira Cunha;2021/1
2015/1;200000072;Bento Leite Andrade;2019/1
2013/1;200000073;Hugo Carvalho Campos;2017/1
2015/2;200000074;Flávio Araújo Medeiros;2024/2
2011/2;200000075;Rodrigo Costa Cardoso;2015/1
2022/1;200000076;Flávio Silva Pinto;2028/1
2015/2;200000077;Flávio Ferreira Vasconcelos;2020/2
2018/2;200000078;Milena Azevedo Dias;2025/1
2011/2;200000079;Leandro Correia Rodrigues;2018/1
2014/2;200000080;Wanda Rocha Melo;2022/1
